76.167.243.99 - - [07/Aug/2017:01:30:08 -0700] "GET / HTTP/1.1" 200 743 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36" 
76.167.243.99 - - [07/Aug/2017:01:30:09 -0700] "GET / HTTP/1.1" 304 187 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36" 
76.167.243.99 - - [07/Aug/2017:01:30:09 -0700] "GET / HTTP/1.1" 304 187 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36" 
76.167.243.99 - - [07/Aug/2017:01:30:10 -0700] "GET / HTTP/1.1" 304 187 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36" 
76.167.243.99 - - [07/Aug/2017:01:30:11 -0700] "GET / HTTP/1.1" 304 187 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36" 
76.167.243.99 - - [07/Aug/2017:01:30:12 -0700] "GET / HTTP/1.1" 304 187 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36" 
76.167.243.99 - - [07/Aug/2017:01:30:12 -0700] "GET / HTTP/1.1" 304 187 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36" 
76.167.243.99 - - [07/Aug/2017:01:30:12 -0700] "GET / HTTP/1.1" 304 187 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36" 
76.167.243.99 - - [07/Aug/2017:01:30:12 -0700] "GET / HTTP/1.1" 304 187 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36" 
76.167.243.99 - - [07/Aug/2017:01:30:13 -0700] "GET / HTTP/1.1" 304 187 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36" 
76.167.243.99 - - [07/Aug/2017:01:30:13 -0700] "GET / HTTP/1.1" 200 743 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36" 
76.167.243.99 - - [07/Aug/2017:01:30:13 -0700] "GET / HTTP/1.1" 200 743 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36" 
